geo,time,forvarvsfrekvens_kvinnor
8076,2008,"85,5"
8076,2009,"84,4"
8076,2010,"85,5"
8076,2011,"86,7"
8076,2012,"84,2"
8076,2013,"80,5"
8076,2014,"86,1"
8076,2015,"84,3"
8076,2016,"91,3"
808,2000,84
808,2001,84
808,2002,"81,6"
808,2003,"87,8"
808,2004,"86,3"
808,2005,83
808,2006,"89,1"
808,2007,"83,6"
808,2008,"82,4"
808,2009,"85,5"
808,2010,"82,8"
808,2011,85
808,2012,"88,1"
808,2013,"91,1"
808,2014,"87,9"
808,2015,"83,3"
808,2016,"85,5"
11,2000,"72,3"
11,2001,"72,3"
11,2002,"74,6"
11,2003,"71,4"
11,2004,"76,5"
11,2005,"73,5"
11,2006,"74,6"
11,2007,78
11,2008,"75,8"
11,2009,"76,3"
11,2010,"74,5"
11,2011,"75,9"
11,2012,76
11,2013,"79,3"
11,2014,78
11,2015,"79,6"
11,2016,81
12,2000,76
12,2001,76
12,2002,"75,2"
12,2003,"77,3"
12,2004,"78,5"
12,2005,"77,1"
12,2006,"81,2"
12,2007,"81,6"
12,2008,"79,9"
12,2009,"76,6"
12,2010,"80,6"
12,2011,"80,4"
12,2012,"79,4"
12,2013,"79,7"
12,2014,83
12,2015,"82,1"
12,2016,"82,2"
13,2000,"68,3"
13,2001,"68,3"
13,2002,"70,2"
13,2003,"72,4"
13,2004,"72,5"
13,2005,"72,7"
13,2006,"72,8"
13,2007,"75,4"
13,2008,"75,5"
13,2009,"74,5"
13,2010,"74,7"
13,2011,"76,6"
13,2012,"77,9"
13,2013,"79,4"
13,2014,"82,3"
13,2015,"82,4"
13,2016,"83,4"
14,2000,"74,7"
14,2001,"74,7"
14,2002,"77,4"
14,2003,"76,1"
14,2004,"79,1"
14,2005,"76,8"
14,2006,"77,6"
14,2007,77
14,2008,"78,3"
14,2009,"76,5"
14,2010,76
14,2011,79
14,2012,"80,2"
14,2013,"77,8"
14,2014,"79,4"
14,2015,"81,9"
14,2016,"83,9"
15,2000,74
15,2001,74
15,2002,"75,4"
15,2003,76
15,2004,"76,1"
15,2005,"75,2"
15,2006,"77,9"
15,2007,"78,2"
15,2008,"77,8"
15,2009,"78,5"
15,2010,79
15,2011,"79,6"
15,2012,"80,9"
15,2013,82
15,2014,"83,8"
15,2015,"85,6"
15,2016,"87,3"
61,2000,"76,7"
61,2001,"76,7"
61,2002,"76,9"
61,2003,"76,1"
61,2004,"78,5"
61,2005,"78,9"
61,2006,"80,2"
61,2007,81
61,2008,"80,1"
61,2009,"75,3"
61,2010,"77,1"
