geo,time,inrikes_fodda_man
82,2009,795
82,2010,789
82,2011,795
82,2012,802
82,2013,808
82,2014,789
82,2015,798
82,2016,804
82,2017,810
83,2000,176
83,2001,176
83,2002,176
83,2003,175
83,2004,167
83,2005,174
83,2006,164
83,2007,165
83,2008,164
83,2009,166
83,2010,163
83,2011,165
83,2012,160
83,2013,150
83,2014,144
83,2015,148
83,2016,144
83,2017,144
2,2000,781
2,2001,781
2,2002,781
2,2003,781
2,2004,789
2,2005,798
2,2006,793
2,2007,809
2,2008,810
2,2009,807
2,2010,802
2,2011,805
2,2012,817
2,2013,793
2,2014,789
2,2015,776
2,2016,776
2,2017,791
5,2000,2422
5,2001,2422
5,2002,2422
5,2003,2415
5,2004,2414
5,2005,2432
5,2006,2423
5,2007,2429
5,2008,2449
5,2009,2456
5,2010,2448
5,2011,2435
5,2012,2439
5,2013,2431
5,2014,2436
5,2015,2451
5,2016,2484
5,2017,2464
7,2000,2097
7,2001,2097
7,2002,2097
7,2003,2151
7,2004,2211
7,2005,2274
7,2006,2364
7,2007,2391
7,2008,2425
7,2009,2456
7,2010,2459
7,2011,2498
7,2012,2498
7,2013,2504
7,2014,2523
7,2015,2517
7,2016,2528
7,2017,2561
