geo,time,nettoflytt_arb
8074,2004,8
8074,2005,14
8074,2006,2
8074,2007,10
8074,2008,-2
8074,2009,1
8074,2010,5
8074,2011,3
8074,2012,2
8074,2013,-1
8074,2014,-9
8074,2015,9
8074,2016,-1
8074,2017,0
8075,2000,7
8075,2001,3
8075,2002,4
8075,2003,6
8075,2004,-3
8075,2005,3
8075,2006,3
8075,2007,7
8075,2008,0
8075,2009,3
8075,2010,-2
8075,2011,1
8075,2012,-3
8075,2013,-7
8075,2014,-4
8075,2015,5
8075,2016,5
8075,2017,0
8076,2000,-1
8076,2001,4
8076,2002,-4
8076,2003,-2
8076,2004,4
8076,2005,3
8076,2006,-5
8076,2007,1
8076,2008,2
8076,2009,5
8076,2010,3
8076,2011,2
8076,2012,1
8076,2013,1
8076,2014,-2
8076,2015,9
8076,2016,-4
8076,2017,0
808,2000,-4
808,2001,8
808,2002,-2
808,2003,4
808,2004,2
808,2005,-4
808,2006,5
808,2007,-2
808,2008,-2
808,2009,3
808,2010,4
808,2011,4
808,2012,0
808,2013,-4
808,2014,-1
808,2015,-1
808,2016,3
808,2017,0
11,2000,14
11,2001,-4
11,2002,-2
11,2003,-1
11,2004,13
11,2005,1
11,2006,-11
11,2007,-9
11,2008,15
11,2009,3
11,2010,-15
11,2011,-7
11,2012,-12
11,2013,-1
11,2014,17
11,2015,8
11,2016,11
11,2017,0
12,2000,-4
12,2001,-16
12,2002,-9
12,2003,-9
12,2004,-24
12,2005,-7
12,2006,-8
12,2007,-7
12,2008,-10
12,2009,3
12,2010,-1
12,2011,-14
12,2012,3
12,2013,-26
12,2014,4
12,2015,9
12,2016,-16
12,2017,0
13,2000,13
13,2001,6
13,2002,2
13,2003,0
13,2004,4
13,2005,-1
13,2006,-9
13,2007,-4
13,2008,-3
13,2009,-6
13,2010,-10
13,2011,-10
13,2012,-18
13,2013,-5
13,2014,3
13,2015,7
13,2016,6
13,2017,0
14,2000,12
14,2001,8
14,2002,-18
14,2003,7
14,2004,7
14,2005,4
14,2006,-12
14,2007,0
14,2008,-1
14,2009,3
14,2010,2
14,2011,3
14,2012,6
14,2013,22
14,2014,5
14,2015,10
14,2016,-8
14,2017,0
15,2000,21
15,2001,10
15,2002,16
15,2003,32
15,2004,5
15,2005,20
15,2006,-9
15,2007,12
15,2008,27
15,2009,33
15,2010,13
15,2011,0
15,2012,3
15,2013,6
15,2014,8
15,2015,49
15,2016,61
15,2017,0
61,2000,4
61,2001,3
61,2002,8
61,2003,-23
61,2004,28
61,2005,-12
61,2006,-14
61,2007,4
61,2008,3
61,2009,-24
61,2010,5
61,2011,0
61,2012,11
61,2013,-12
61,2014,-4
61,2015,2
61,2016,-5
61,2017,0
62,2000,-5
62,2001,-1
62,2002,-5
62,2003,2
62,2004,-13
62,2005,6
62,2006,-1
62,2007,-3
62,2008,-5
62,2009,8
62,2010,-13
62,2011,-3
62,2012,6
62,2013,-2
62,2014,-1
62,2015,-2
62,2016,-8
62,2017,0
63,2000,-2
63,2001,2
63,2002,3
63,2003,4
63,2004,-11
63,2005,-12
63,2006,-3
63,2007,7
63,2008,-16
63,2009,-8
63,2010,7
63,2011,-4
63,2012,4
63,2013,0
63,2014,13
63,2015,5
63,2016,3
63,2017,0
81,2000,-1
81,2001,6
81,2002,0
81,2003,6
81,2004,-2
81,2005,-1
81,2006,-3
81,2007,10
81,2008,0
81,2009,3
81,2010,4
81,2011,-3
81,2012,11
81,2013,7
81,2014,6
81,2015,11
81,2016,19
81,2017,0
82,2000,2
82,2001,1
82,2002,-5
82,2003,6
82,2004,-6
82,2005,5
82,2006,0
82,2007,10
82,2008,12
82,2009,-22
82,2010,4
82,2011,12
82,2012,3
82,2013,5
82,2014,-12
82,2015,-3
82,2016,17
82,2017,0
83,2000,-3
83,2001,-2
83,2002,-1
83,2003,-5
83,2004,0
83,2005,8
83,2006,1
83,2007,5
83,2008,-3
83,2009,0
83,2010,2
83,2011,-1
83,2012,1
83,2013,-3
83,2014,-2
83,2015,6
83,2016,3
83,2017,0
2,2000,3
2,2001,7
2,2002,-1
2,2003,2
2,2004,17
2,2005,20
2,2006,-2
2,2007,19
2,2008,-2
2,2009,-10
2,2010,8
2,2011,0
2,2012,6
2,2013,-9
2,2014,13
2,2015,-2
2,2016,1
2,2017,0
5,2000,-25
5,2001,29
5,2002,-9
5,2003,-7
5,2004,-42
5,2005,-2
5,2006,12
5,2007,-14
5,2008,-3
5,2009,6
5,2010,-3
5,2011,-13
5,2012,3
5,2013,0
5,2014,-3
5,2015,-1
5,2016,5
5,2017,0
7,2000,0
7,2001,35
7,2002,62
7,2003,42
7,2004,64
7,2005,69
7,2006,80
7,2007,-2
7,2008,16
7,2009,12
7,2010,11
7,2011,52
7,2012,-17
7,2013,20
7,2014,12
7,2015,23
7,2016,-23
7,2017,0
