geo,time,utbildningsniva_andel_totalt
5,2016,19.6
5,2017,20
7,2000,21.5
7,2001,21.5
7,2002,21.5
7,2003,21.5
7,2004,21.5
7,2005,22.9
7,2006,24.1
7,2007,25.5
7,2008,26.8
7,2009,27.5
7,2010,28
7,2011,29.4
7,2012,29.6
7,2013,30
7,2014,31
7,2015,31.7
7,2016,32.4
7,2017,33.3
