geo,time,medelinkomst_20_64_ar_man
8072,2003,271584
8072,2004,290730
8072,2005,296783
8072,2006,308725
8072,2007,330481
8072,2008,323373
8072,2009,318559
8072,2010,308967
8072,2011,324070
8072,2012,335998
8072,2013,348935
8072,2014,358649
8072,2015,363030
8072,2016,388437
8072,2017,382995
8073,2000,183913
8073,2001,193187
8073,2002,194212
8073,2003,203587
8073,2004,201917
8073,2005,206413
8073,2006,212381
8073,2007,213967
8073,2008,216263
8073,2009,225126
8073,2010,234458
8073,2011,231483
8073,2012,234496
8073,2013,246006
8073,2014,241892
8073,2015,228055
8073,2016,235958
8073,2017,250641
8074,2000,289669
8074,2001,311462
8074,2002,337164
8074,2003,331719
8074,2004,318494
8074,2005,327396
8074,2006,332046
8074,2007,338511
8074,2008,339214
8074,2009,335926
8074,2010,370197
8074,2011,431814
8074,2012,396529
8074,2013,409307
8074,2014,422827
8074,2015,416300
8074,2016,437811
8074,2017,448484
8075,2000,276521
8075,2001,269430
8075,2002,326740
8075,2003,297233
8075,2004,303897
8075,2005,300343
8075,2006,313720
8075,2007,320113
8075,2008,339453
8075,2009,343263
8075,2010,347206
8075,2011,372432
8075,2012,381117
8075,2013,393573
8075,2014,407499
8075,2015,419004
8075,2016,396865
8075,2017,417131
8076,2000,258905
8076,2001,282190
8076,2002,289684
8076,2003,295458
8076,2004,291110
8076,2005,302299
8076,2006,327442
8076,2007,320236
8076,2008,348737
8076,2009,357583
8076,2010,362294
8076,2011,355332
8076,2012,365498
8076,2013,390951
8076,2014,405137
8076,2015,398378
8076,2016,401195
8076,2017,403740
808,2000,257918
808,2001,284658
808,2002,288613
808,2003,294056
808,2004,304263
808,2005,309160
808,2006,334916
808,2007,363465
808,2008,208268
808,2009,352504
808,2010,357609
808,2011,360808
808,2012,375699
808,2013,407703
808,2014,398986
808,2015,400179
808,2016,413235
808,2017,392022
11,2000,190414
11,2001,195415
11,2002,202958
11,2003,215184
11,2004,217130
11,2005,219237
11,2006,231886
11,2007,243028
11,2008,247986
11,2009,249135
11,2010,248338
11,2011,265534
11,2012,266709
11,2013,270223
11,2014,272163
11,2015,277265
11,2016,287326
11,2017,299233
12,2000,211610
12,2001,219686
12,2002,229135
12,2003,233629
12,2004,239610
12,2005,245630
12,2006,259767
12,2007,270030
12,2008,275722
12,2009,278234
12,2010,281785
12,2011,287652
12,2012,300733
12,2013,303023
12,2014,313252
12,2015,320697
12,2016,334956
12,2017,342024
13,2000,202782
13,2001,209219
13,2002,217871
13,2003,217934
13,2004,225433
13,2005,231754
13,2006,244019
13,2007,263541
13,2008,271886
13,2009,271068
13,2010,276117
13,2011,283645
13,2012,287873
13,2013,295602
13,2014,290098
13,2015,304905
13,2016,317004
13,2017,327338
14,2000,206531
14,2001,221203
14,2002,234109
14,2003,239904
14,2004,241017
14,2005,252210
14,2006,275311
14,2007,275165
14,2008,285832
14,2009,292053
14,2010,299875
14,2011,303341
14,2012,300589
14,2013,317626
14,2014,331941
14,2015,342561
14,2016,350686
14,2017,364171
15,2000,208816
15,2001,222841
15,2002,234114
15,2003,246303
15,2004,246571
15,2005,255557
15,2006,276190
15,2007,282132
15,2008,290259
15,2009,298201
15,2010,300163
15,2011,317525
15,2012,322200
15,2013,335875
15,2014,351640
15,2015,356267
15,2016,377034
15,2017,390888
61,2000,209699
61,2001,215299
61,2002,216117
61,2003,226397
61,2004,233596
61,2005,237627
61,2006,251968
61,2007,265210
61,2008,267409
61,2009,270334
61,2010,273179
61,2011,281012
61,2012,287270
61,2013,292038
61,2014,303473
61,2015,306141
61,2016,314378
61,2017,329330
62,2000,188960
62,2001,196726
62,2002,208025
62,2003,219649
62,2004,221225
62,2005,235628
62,2006,238819
62,2007,255378
62,2008,259538
62,2009,264724
62,2010,272157
62,2011,265647
62,2012,267365
62,2013,273191
62,2014,281916
62,2015,285861
62,2016,249600
62,2017,301780
63,2000,198826
63,2001,209574
63,2002,218107
63,2003,225447
63,2004,231048
63,2005,245532
63,2006,252231
63,2007,267661
63,2008,282873
63,2009,284396
63,2010,280461
63,2011,280281
63,2012,289626
63,2013,289706
63,2014,291475
63,2015,291425
63,2016,305722
63,2017,310924
81,2000,218664
81,2001,227790
81,2002,226292
81,2003,225954
81,2004,240320
81,2005,250912
81,2006,265704
81,2007,292944
81,2008,301067
81,2009,298528
81,2010,307419
81,2011,316427
81,2012,331473
81,2013,320103
81,2014,338169
81,2015,334210
81,2016,355905
81,2017,341274
82,2000,230684
82,2001,234958
82,2002,245345
82,2003,252091
82,2004,264268
82,2005,270760
82,2006,280124
82,2007,290714
82,2008,295846
82,2009,303683
82,2010,314452
82,2011,321080
82,2012,336227
82,2013,341017
82,2014,347114
82,2015,349638
82,2016,369129
82,2017,382214
83,2000,178894
83,2001,183780
83,2002,190682
83,2003,195773
83,2004,199907
83,2005,206254
83,2006,223887
83,2007,241456
83,2008,246161
83,2009,242616
83,2010,242797
83,2011,280984
83,2012,284698
83,2013,304228
83,2014,309560
83,2015,319819
83,2016,311414
83,2017,322602
2,2000,223442
2,2001,227669
2,2002,235858
2,2003,243318
2,2004,245958
2,2005,260543
2,2006,274705
2,2007,293332
2,2008,297047
2,2009,304554
2,2010,318119
2,2011,330535
2,2012,334109
2,2013,338051
2,2014,351368
2,2015,359526
2,2016,367244
2,2017,385308
5,2000,230642
5,2001,242064
5,2002,250395
5,2003,256604
5,2004,263032
5,2005,271111
5,2006,279585
5,2007,292280
5,2008,300763
5,2009,304836
5,2010,307523
5,2011,319142
5,2012,329150
5,2013,337828
5,2014,345611
5,2015,356358
5,2016,355199
5,2017,372878
7,2000,254164
7,2001,266229
7,2002,278585
7,2003,284753
7,2004,292197
7,2005,307167
7,2006,321312
7,2007,335262
7,2008,346525
7,2009,350607
7,2010,363990
7,2011,372746
7,2012,377401
7,2013,385114
7,2014,393158
7,2015,396760
7,2016,416823
7,2017,436072
