geo,time,utbildningsniva_andel_kvinnor
2,2007,15.7
2,2008,17
2,2009,17.6
2,2010,18.7
2,2011,20.2
2,2012,22.9
2,2013,23.8
2,2014,24.7
2,2015,24.5
2,2016,27.3
2,2017,27.2
5,2000,16.6
5,2001,16.6
5,2002,16.6
5,2003,16.6
5,2004,16.6
5,2005,18.5
5,2006,18.9
5,2007,21
5,2008,21.6
5,2009,22.6
5,2010,22.5
5,2011,22.7
5,2012,24.2
5,2013,24.2
5,2014,24.9
5,2015,24.6
5,2016,25.1
5,2017,26.3
7,2000,22.1
7,2001,22.1
7,2002,22.1
7,2003,22.1
7,2004,22.1
7,2005,23.5
7,2006,25.3
7,2007,27.5
7,2008,29.4
7,2009,30.7
7,2010,30.9
7,2011,33.1
7,2012,33.8
7,2013,34.4
7,2014,36.1
7,2015,37.4
7,2016,38.9
7,2017,39.4
